id	front	back	tags
durrett_ch9_ito_laplacian_martingale	Ito-Laplacian martingale for Brownian motion (9.1 Martingales)	If v is C2 and the stochastic integral is square-integrable, then v(B_t)-1/2 integral_0^t Delta v(B_s) ds is a continuous martingale. Exam use: The one-line engine behind harmonic functions, optional stopping, PDE uniqueness, and Green function computations. Pitfall: The integrability/localization condition is not decoration; without it the stochastic integral may only be local.	brownian-motion,ito-formula,laplacian,martingale
durrett_ch9_exit_time_ball_mean	Mean exit time from a ball (9.1 Martingales)	For d-dimensional Brownian motion started at |x|<R, the hitting time S_R of the sphere of radius R has E_x S_R=(R^2-|x|^2)/d. Exam use: Use for expected lifetime in balls and as a quick check for Poisson-equation solutions. Pitfall: The dimension appears in the denominator because |B_t|^2-dt is summed over d coordinates.	exit-time,ball,optional-stopping
durrett_ch9_radial_harmonic_functions	Radial harmonic test functions (9.1 Martingales)	The radial functions phi(x)=log|x| in d=2 and phi(x)=|x|^(2-d) in d>=3 are harmonic off the origin. Exam use: They convert annulus hitting probabilities into algebra. Pitfall: They are singular at zero, so stop before hitting the inner radius and localize with smooth compact modifications.	harmonic,radial,annulus
durrett_ch9_annulus_hitting_probability	Annulus hitting probability (9.1 Martingales)	For r<|x|<R, P_x(S_r<S_R)=[phi(R)-phi(x)]/[phi(R)-phi(r)], with phi radial harmonic as above. Exam use: This is the standard computation for recurrence in d=2 and transience in d>=3. Pitfall: Use the correct dimension-specific phi; the logarithmic d=2 case is a frequent source of wrong powers.	annulus,hitting-probability,recurrence,transience
durrett_ch9_two_dimensional_recurrence	Two-dimensional Brownian recurrence (9.1 Martingales)	In d=2, Brownian motion hits every circle around the origin almost surely and visits every nonempty open set infinitely often. Exam use: Use to decide whether planar Brownian motion returns to neighborhoods, not to exact points. Pitfall: Recurrence of neighborhoods does not mean hitting a prescribed point at positive time.	dimension-two,recurrence,hitting
durrett_ch9_points_polar_in_d_ge_2	Points are polar in dimensions at least two (9.1 Martingales)	For d>=2, Brownian motion does not hit a fixed point at a positive time, even when started from that point. Exam use: Prevents confusing recurrence in d=2 with point recurrence; important for punctured-domain examples. Pitfall: The definition of hitting zero uses t>0, so starting at zero is not a counterexample.	polar-sets,hitting-points,dimension
durrett_ch9_higher_dimensional_transience	Transience in dimensions at least three (9.1 Martingales)	For d>=3, P_x(S_r<infinity)=(r/|x|)^(d-2) when |x|>r, and |B_t| tends to infinity almost surely. Exam use: Use whenever a problem asks whether Brownian motion returns to bounded sets in high dimension. Pitfall: The limit |B_t| to infinity is almost sure but does not imply monotone radial motion.	transience,dimension-three,radial-process
durrett_ch9_dvoresky_erdos_test	Dvoretsky-Erdos lower envelope test (9.1 Martingales)	For d>=3 and positive decreasing g, P_0(|B_t|<=g(t)sqrt(t) infinitely often) is one or zero according as integral g(t)^(d-2) dt/t diverges or converges. Exam use: Useful as a recognition result for Brownian escape rates in advanced prelim-style questions. Pitfall: It concerns infinitely often behavior near infinity, not fixed-time Gaussian tails.	lower-envelope,transience,zero-one-law
durrett_ch9_heat_backward_martingale	Backward heat-equation martingale (9.2 Heat Equation)	If u_t=1/2 Delta u, then M_s=u(t-s,B_s) is a local martingale on 0<=s<=t. Exam use: This is the probabilistic uniqueness mechanism for the heat equation. Pitfall: The backward time t-s is essential; using t+s changes the sign.	heat-equation,space-time,martingale
durrett_ch9_heat_equation_solution	Heat equation solution by Brownian expectation (9.2 Heat Equation)	The bounded solution with initial condition f is v(t,x)=E_x f(B_t), equivalently convolution with the Gaussian heat kernel. Exam use: Use to solve Cauchy heat problems and identify semigroup smoothing. Pitfall: Continuity at t=0 requires continuity of f; boundedness alone is not enough for the boundary condition.	heat-kernel,brownian-semigroup,uniqueness
