id	front	back	tags
durrett_ch1_probability_space	Probability space (1.1 Probability Spaces)	A probability model is a triple (Omega, F, P): outcomes, a sigma-field of events, and a countably additive probability measure with total mass 1. Exam use: Use this as the opening language for proofs involving events, limsup/liminf events, and Borel-Cantelli later in Chapter 2. Pitfall: Do not treat arbitrary subsets as events unless F is the full power set; measurability is part of the model.	probability-space,sigma-field,measure
durrett_ch1_sigma_field	Sigma-field closure rules (1.1 Probability Spaces)	A sigma-field is closed under complements and countable unions, hence also under countable intersections and finite set operations. Exam use: When proving a random object is measurable, show that a convenient generating class of inverse images lies in F. Pitfall: A countable union is allowed; an arbitrary uncountable union need not be in the sigma-field.	sigma-field,closure,measurability
durrett_ch1_measure_continuity	Continuity of measure (1.1 Probability Spaces)	For increasing events A_n, P(union A_n) is the limit of P(A_n). For decreasing events A_n with finite first measure, P(intersection A_n) is the limit of P(A_n). Exam use: Essential for limits of events, almost sure convergence criteria, and first Borel-Cantelli arguments. Pitfall: For decreasing continuity, the finite-measure condition matters for general measures; it is automatic under probability measures.	continuity-from-below,continuity-from-above,events
durrett_ch1_discrete_probability_space	Discrete probability spaces (1.1 Probability Spaces)	On a countable sample space, assign nonnegative masses p(omega) summing to 1, and define P(A) as the sum over omega in A. Exam use: Useful for checking intuition before proving the analogous statement for general measures. Pitfall: If the sample space is uncountable, point masses need not determine the whole law.	discrete,mass-function,countable
durrett_ch1_stieltjes_measure	Stieltjes measures from distribution-like functions (1.1 Probability Spaces)	A nondecreasing right-continuous function with suitable limits defines a unique measure on the Borel line via interval increments. Exam use: This is the bridge from CDFs to probability measures on R. Pitfall: Right-continuity is not cosmetic; it pins down the measure on half-infinite intervals and atoms.	stieltjes,cdf,borel-measure
durrett_ch1_semialgebra_extension	Extension from semialgebras (1.1 Probability Spaces)	A measure-like set function on a semialgebra can be extended when it has the right countable additivity/continuity behavior on the generating class. Exam use: Explains why specifying probabilities on intervals or rectangles is enough in many probability models. Pitfall: Do not assume every finitely additive premeasure extends; the countable condition is the serious part.	semialgebra,extension,premeasure
durrett_ch1_product_distribution_function	Multidimensional distribution functions (1.1 Probability Spaces)	A function on R^d satisfying monotonicity over rectangles, right-continuity, and correct limits defines a probability measure on Borel R^d. Exam use: This underlies joint distributions and later independence statements. Pitfall: Coordinatewise monotonicity alone is not enough; rectangle probabilities must be nonnegative.	joint-distribution,rectangles,borel-rd
durrett_ch1_distribution_function	Distribution function properties (1.2 Distributions)	A CDF is nondecreasing, right-continuous, tends to 0 at -infinity, and tends to 1 at +infinity. Exam use: Use these properties to test whether a proposed function can be a CDF. Pitfall: Left-continuity is generally false; jumps represent atoms.	cdf,distribution,right-continuity
durrett_ch1_cdf_to_law	Every valid CDF determines a law (1.2 Distributions)	Any function with the standard CDF properties is the distribution function of a unique probability measure on R. Exam use: Lets you prove convergence claims by identifying limiting CDFs, provided the limit is a valid CDF at continuity points. Pitfall: A pointwise limit of CDFs may fail to be a CDF if total mass escapes to infinity.	cdf,law,tightness
durrett_ch1_atoms_jumps	Atoms are jumps of the CDF (1.2 Distributions)	For a real random variable, P(X = x) equals the jump F(x) - F(x-) of its distribution function. Exam use: Useful for mixed discrete-continuous examples and for proving a CDF has at most countably many discontinuities. Pitfall: A continuous CDF does not imply a density exists; the Cantor distribution is the standard warning.	atom,cdf-jump,discontinuity
durrett_ch1_normal_tail_bound	Standard normal tail estimate (1.2 Distributions)	The standard normal upper tail has exponential decay comparable to phi(x)/x for positive x. Exam use: Appears in Brownian motion, LIL-style bounds, and CLT error estimates. Pitfall: Keep track of whether a bound is one-sided or two-sided; prelim solutions often lose constants harmlessly but not exponents.	normal,tail-bound,inequality
durrett_ch1_probability_integral_transform	Probability integral transform (1.2 Distributions)	If X has a continuous CDF F, then F(X) is uniform on (0,1) under suitable strictness/continuity conditions. Exam use: Useful for constructing random variables from uniform variables and for distribution transformations. Pitfall: Continuity alone needs care when F has flat intervals; use generalized inverses for the clean general statement.	cdf-transform,uniform,quantile
durrett_ch1_measurable_map	Random variables as measurable maps (1.3 Random Variables)	A random variable is a measurable map from the sample space to a measurable state space. Exam use: This is the language needed for sigma(X), conditional expectation, and stochastic processes. Pitfall: Do not confuse a random variable with its distribution; different variables may have the same law.	random-variable,measurable-map,law
durrett_ch1_measurability_generator	Checking measurability on generators (1.3 Random Variables)	To prove X is measurable into a generated sigma-field, it is enough to check inverse images of a generating class. Exam use: Use half-lines for real variables and rectangles for vector-valued variables. Pitfall: The generator must actually generate the target sigma-field; checking too small a class proves too little.	measurability,generator,inverse-image
durrett_ch1_composition_measurable	Composition of measurable maps (1.3 Random Variables)	If X is measurable and f is measurable, then f(X) is measurable. Exam use: Use this to justify transformations such as X^2, exp(X), indicators, vectors, sums, limsup, and liminf. Pitfall: Continuity is sufficient for Borel measurability, but not necessary.	composition,transformation,measurable
