id	front	back	tags
exercise_method_countable_cocountable_measure	Countable/co-countable probability measure	To verify the countable/co-countable construction, split disjoint families into the cases where all sets are countable or exactly one set is co-countable. Use case: Exercise 1.1.1 and any probability-space verification on unusual sigma-fields.	probability-space,countable-additivity,co-countable
exercise_method_borel_generated_by_half_open_rectangles	Borel sigma-field from half-open rectangles	Show half-open rectangles are Borel, then express rational open rectangles as countable unions of half-open rectangles; use the countable rational base. Use case: Exercises 1.1.2 and 1.1.3; product-measure generation arguments.	borel,generator,rectangles
exercise_method_increasing_sigma_fields_not_sigma_field	Increasing union of sigma-fields can fail countable closure	Use finite initial-coordinate sigma-fields on N; their union contains every finite set but misses an infinite non-cofinite set such as the evens. Use case: Exercise 1.1.4; distinguishing algebras from sigma-fields.	sigma-field,algebra,counterexample
exercise_method_asymptotic_density_block_counterexample	Block construction for asymptotic density counterexamples	Use rapidly growing blocks so the latest block dominates all previous blocks; alternate behavior by blocks to destroy the density of intersections. Use case: Exercise 1.1.5 and density/limit counterexamples.	asymptotic-density,counterexample,blocks
exercise_method_piecewise_random_variable_measurability	Piecewise random variable measurability	For Z = X on A and Y on A^c, write {Z <= x} as (A cap {X <= x}) union (A^c cap {Y <= x}). Use case: Exercise 1.2.1; patching random variables on measurable events.	measurability,piecewise,random-variable
exercise_method_countable_cdf_discontinuities	Countability of CDF jumps	Group jumps by size bigger than 1/m inside bounded intervals; each group is finite because total CDF increase is at most one. Use case: Exercise 1.2.3; monotone-function discontinuity arguments.	cdf,jumps,countability
exercise_method_density_change_of_variables	Monotone density change of variables	For Y=g(X) with g increasing, compute F_Y(y)=P(X <= g^{-1}(y)) and differentiate to get f_X(g^{-1}(y))/g'(g^{-1}(y)). Use case: Exercises 1.2.5 and 1.2.6; lognormal and affine density transforms.	density,change-of-variables,cdf
exercise_method_square_transform_density	Density of a square transform	For Y=X^2, use F_Y(y)=P(-sqrt(y)<=X<=sqrt(y)) and differentiate to get [f(sqrt(y))+f(-sqrt(y))]/(2sqrt(y)). Use case: Exercise 1.2.7; chi-square with one degree of freedom.	density,chi-square,transformation
exercise_method_rational_cut_sum_measurability	Rational cut proof for sum measurability	Write {X+Y<x} as the countable union over q in Q of {X<q} cap {Y<x-q}. Use case: Exercise 1.3.2; direct measurability of sums.	measurability,rationals,sum
exercise_method_closed_sublevel_semicontinuity	Lower semicontinuity via closed sublevel sets	A function is lower semicontinuous iff all sets {f <= a} are closed; sequential closure proves one direction and contradiction via subsequences proves the other. Use case: Exercise 1.3.5; proving semicontinuous functions are measurable.	semicontinuity,closed-sets,measurability
exercise_method_oscillation_discontinuity_set	Discontinuity set from upper and lower local envelopes	Define local sup and inf over balls, take limits as radius decreases, and identify discontinuities as the set where the limiting envelopes differ. Use case: Exercise 1.3.6; measurability of discontinuity sets.	discontinuity,oscillation,measurability
exercise_method_constructive_sigma_x_representation	Constructive representation of sigma(X)-measurable functions	Quantize Y into dyadic bins, represent each bin as {X in B}, build Borel simple functions f_n, then take a measurable pointwise limit f with Y=f(X). Use case: Exercises 1.3.8 and 1.3.9; conditional-expectation foundations.	sigma-x,factorization,dyadic-approximation
exercise_method_zero_integral_nonnegative	Zero integral of nonnegative function implies zero a.e.	Use sets {f > 1/n}; each has zero measure because integral dominates (1/n) times its measure, and their union is {f>0}. Use case: Exercise 1.4.1; null-set proofs.	nonnegative,zero-integral,a-e
exercise_method_dyadic_lower_integral_approximation	Dyadic lower simple approximations	Approximate f>=0 by 2^{-n} floor(2^n f); the approximants increase to f and their integrals give monotone sums over dyadic level sets. Use case: Exercise 1.4.2 and simple-function approximation.	dyadic,simple-functions,mct
exercise_method_l1_continuous_approximation	L1 approximation by continuous functions	Approximate an integrable function by simple functions, approximate measurable sets by finite interval unions, then round step-function corners. Use case: Exercise 1.4.3; density of nice functions in L1 on R.	l1,approximation,continuous-functions
exercise_method_riemann_lebesgue_step_reduction	Riemann-Lebesgue by step-function reduction	Prove oscillatory integral decay for interval indicators explicitly, then approximate any L1 function by a step function. Use case: Exercise 1.4.4; oscillatory integral estimates.	riemann-lebesgue,step-functions,oscillation
exercise_method_essential_supremum_bound	Essential supremum bounds integrals	If |g| <= ||g||_infty a.e., then |fg| <= ||g||_infty |f| and integration gives the L1-Linfty Holder endpoint. Use case: Exercise 1.5.1; endpoint Holder inequalities.	essential-supremum,holder,linfty
exercise_method_lp_to_l_infty_limit	Lp norms converge to Linfty on probability spaces	Upper bound by essential supremum; lower bound using sets where |f| exceeds M-epsilon and their positive probability. Use case: Exercise 1.5.2; norm comparisons.	lp,linfty,probability-space
exercise_method_density_of_simple_functions_in_lp	Simple functions are dense in Lp	Use pointwise simple approximations bounded by |f|, then dominated convergence on |phi_n-f|^p. Use case: Exercise 1.5.9; Lp approximation.	lp,simple-functions,dct
exercise_method_absolute_summability_exchange	Exchange integral and absolutely summable series	If sum integral |f_n| is finite, then H=sum |f_n| is integrable; dominated convergence applies to partial sums. Use case: Exercise 1.5.10 and 1.7.1 corollary.	series,dct,absolute-convergence
exercise_method_strict_jensen_equality	Equality case in strict Jensen	For strictly convex phi, equality in Jensen forces the random variable to be almost surely constant at its mean. Use case: Exercise 1.6.1; strict convexity equality cases.	jensen,strict-convexity,equality-case
exercise_method_two_point_extremizers	Two-point distributions as Chebyshev extremizers	To prove sharpness of moment/tail inequalities, place small mass at boundary points and the rest at a value chosen to match moments. Use case: Exercises 1.6.3, 1.6.4, and 1.6.5.	chebyshev,sharpness,two-point
exercise_method_paley_zygmund_basic	Cauchy-Schwarz lower bound for positive probability	For Y>=0, Cauchy-Schwarz applied to Y*1_{Y>0} yields P(Y>0) >= (EY)^2/EY^2. Use case: Exercise 1.6.6; basic Paley-Zygmund-style estimates.	cauchy-schwarz,lower-bound,paley-zygmund
exercise_method_expectation_tail_truncation	Tail truncation for expectation limits	Control small or large tails by splitting the event and using continuity of probability plus elementary bounds on the integrand. Use case: Exercise 1.6.14; limits involving y E(1/X; X>y).	tail,truncation,expectation
exercise_method_inclusion_exclusion_indicators	Indicator expansion for inclusion-exclusion and Bonferroni	Use 1_union = 1 - product_i(1-1_Ai), expand, and take expectations; partial alternating sums give Bonferroni bounds. Use case: Exercises 1.6.9 and 1.6.10.	inclusion-exclusion,bonferroni,indicators
exercise_method_layer_cake_formula	Layer-cake formula via product sets	Represent g(x) as the vertical length of {(x,y):0 <= y < g(x)} and apply Tonelli to integrate sections. Use case: Exercise 1.7.2; tail integrals for nonnegative functions.	layer-cake,tonelli,tail-integral
exercise_method_stieltjes_integration_by_parts_with_jumps	Stieltjes integration by parts with jump correction	Interpret Stieltjes integrals as product-measure masses of order regions; the diagonal overlap contributes the product of jump masses. Use case: Exercise 1.7.3.	stieltjes,integration-by-parts,jumps
exercise_method_interval_sliding_fubini	Sliding interval Fubini identity	Write F(x+c)-F(x) as mu((x,x+c]), swap integrals, and observe each fixed t is counted for exactly c units of x. Use case: Exercise 1.7.4.	fubini,distribution-function,sliding-window
exercise_method_sine_integral_fubini	Sine integral via Fubini	Represent sin(x)/x as an integral of e^{-xy} sin(x), integrate in x first, and bound the remaining exponentially damped tails. Use case: Exercise 1.7.5.	fubini,sine-integral,oscillatory-integral
	Chapter 3.1 method: what is the main exercise strategy?	Use Stirling's formula and product-log expansions to turn exact binomial or rare-event probabilities into normal or exponential limits.	chapter3,3_1,stirling,binomial,product-limit,normal-approximation
	Chapter 3.2 method: what is the main exercise strategy?	Translate weak convergence into CDF continuity-point checks, bounded continuous test functions, open/closed set bounds, tightness, and continuous mappings.	chapter3,3_2,weak-convergence,portmanteau,tightness,continuous-mapping,slutsky
	Chapter 3.3 method: what is the main exercise strategy?	Identify distributions and limits through characteristic functions; use transform tables, Taylor expansions at zero, inversion, and factorization.	chapter3,3_3,characteristic-functions,levy-continuity,moments,inversion,independence
	Chapter 3.4 method: what is the main exercise strategy?	Choose the correct normalization, verify Lindeberg or Lyapunov conditions, and reduce random-index or triangular-array sums to known CLT forms.	chapter3,3_4,clt,lindeberg,lyapunov,triangular-array,random-sums
	Chapter 3.5 method: what is the main exercise strategy?	Use local limit theorem thinking when a problem asks for point probabilities or lattice-scale approximations rather than only distributional convergence.	chapter3,3_5,local-limit,lattice,point-probability,normal-density
	Chapter 3.6 method: what is the main exercise strategy?	Prove total variation bounds by coupling, and prove sharpness by constructing a maximal coupling from the common mass of two measures.	chapter3,3_6,coupling,total-variation,maximal-coupling,discrete-measures
	Chapter 3.7 method: what is the main exercise strategy?	Exploit exponential survival functions, Poisson thinning/splitting, and Dirichlet uniform spacings to solve process and occupancy limits.	chapter3,3_7,poisson-process,exponential,thinning,splitting,uniform-spacings
	Chapter 3.8 method: what is the main exercise strategy?	Read stable-law questions through scaling, regular variation, tail integrals, Laplace transforms, and conditioning on positive stable subordinators.	chapter3,3_8,stable-laws,heavy-tails,regular-variation,laplace-transform,subordination
	Chapter 3.9 method: what is the main exercise strategy?	Use convolution roots, support diameter, symmetrized characteristic functions, and Levy-Khinchin exponent matching for infinite divisibility problems.	chapter3,3_9,infinite-divisibility,gamma,levy-khinchin,characteristic-functions,support
