id	front	back	tags
ch9_exercise_method_backward_heat_martingale_template	Backward heat martingale template (proof-template)	For u_t=(1/2)Delta u, apply Ito to u(t-s,B_s); the time derivative cancels the Brownian drift and leaves a local martingale. Use case: Section 9.2 martingale checks and any backward parabolic uniqueness argument.	heat-equation,ito-formula,backward-time,martingale
ch9_exercise_method_bounded_heat_uniqueness	Bounded heat solution uniqueness by terminal martingale (proof-template)	Boundedness upgrades the backward local martingale to a uniformly integrable martingale; sending s up to t identifies u(t,x) with E_x f(B_t). Use case: Heat equation uniqueness and bounded parabolic Cauchy problems.	heat-equation,uniqueness,uniform-integrability
ch9_exercise_method_gaussian_approximate_identity	Gaussian approximate identity at t=0 (calculation-template)	Write B_t as sqrt(t)Z; bounded convergence proves E f(x_n+sqrt(t_n)Z) tends to f(x) when f is bounded continuous. Use case: Initial-condition verification for heat and Feynman-Kac formulas.	heat-kernel,initial-condition,bounded-convergence
ch9_exercise_method_heat_kernel_derivative_majorants	Heat-kernel derivative majorants (regularity-template)	On t bounded away from zero, derivatives of the Gaussian kernel are polynomial times a Gaussian, giving integrable majorants for differentiating under the integral. Use case: Proving C^{1,2} smoothing for heat semigroups.	heat-kernel,regularity,dominated-convergence
ch9_exercise_method_source_term_martingale	Source-term martingale for inhomogeneous heat equations (proof-template)	For u_t=(1/2)Delta u+g, add integral_0^s g(B_r)dr to u(t-s,B_s) so the drift cancels. Use case: Duhamel representation and source-term uniqueness.	duhamel,source-term,martingale
ch9_exercise_method_duhamel_uniqueness	Duhamel uniqueness from bounded martingales (proof-template)	A bounded inhomogeneous heat solution with zero initial data equals E_x integral_0^t g(B_s)ds by stopping the source-term martingale at s=t. Use case: Identifying source-forced heat solutions and occupation integrals.	duhamel,uniqueness,occupation-integral
ch9_exercise_method_markov_property_pde_verification	Short-time Markov-property PDE verification (calculation-template)	Use v(t+h,x)=E_x[v(t,B_h)+short-time reward], Taylor expand v(t,B_h), divide by h, and let h down to zero. Use case: Showing smooth Brownian representations solve heat, Poisson, and Feynman-Kac PDEs.	markov-property,taylor-expansion,pde-verification
ch9_exercise_method_holder_cancels_kernel_singularity	Holder cancellation for singular heat-source kernels (regularity-template)	Subtract g(x) inside P_s g(x)-g(x); Holder continuity gives O(s^{alpha/2}), offsetting the small-time singularity. Use case: Regularity of inhomogeneous heat and potential-kernel formulas.	holder-continuity,regularity,singular-kernel
ch9_exercise_method_exponential_weight_martingale	Exponential potential weight martingale (proof-template)	Multiply by exp(integral c(B_s)ds); the finite-variation product rule adds exactly the c u drift needed for cancellation. Use case: Feynman-Kac and Schrodinger martingale derivations.	feynman-kac,exponential-weight,martingale
ch9_exercise_method_feynman_kac_bounded_uniqueness	Bounded Feynman-Kac uniqueness (proof-template)	If c and u are bounded on finite time intervals, the weighted martingale is bounded; stopping at t gives u(t,x)=E_x[f(B_t)exp(integral_0^t c(B_s)ds)]. Use case: Parabolic PDEs with bounded multiplicative potentials.	feynman-kac,boundedness,uniqueness
ch9_exercise_method_smooth_feynman_kac_short_time_check	Smooth Feynman-Kac short-time check (calculation-template)	Use v(t+h,x)=E_x[e^{int_0^h c(B_s)ds}v(t,B_h)], then expand the Brownian move and the exponential to get v_t=(1/2)Delta v+c v. Use case: Verifying smooth Feynman-Kac representations solve the PDE.	feynman-kac,short-time,pde-verification
ch9_exercise_method_feynman_kac_duhamel_reduction	Feynman-Kac smoothness by Duhamel reduction (regularity-template)	Use e^{A_t}-1=integral_0^t c(B_s)e^{A_t-A_s}ds to decompose v into a heat solution plus an inhomogeneous heat solution with source c v. Use case: Regularity proofs for Feynman-Kac formulas with Holder f and c.	feynman-kac,duhamel,regularity
ch9_exercise_method_heat_semigroup_liouville	Liouville theorem via heat semigroup flattening (proof-template)	A bounded harmonic h satisfies h(x)=E h(x+B_t); as t grows, two Gaussian laws with fixed mean separation have vanishing total variation distance, so h(x)=h(y). Use case: Bounded harmonic functions on all of R^d.	liouville,harmonic-functions,heat-semigroup
ch9_exercise_method_recurrent_superharmonic_constancy	Recurrent Brownian motion forces nonnegative superharmonic functions constant (proof-template)	Nonnegative superharmonic functions yield supermartingales; in d=1,2 Brownian motion hits every small neighborhood, so optional stopping gives f(x)>=f(y) and symmetry gives equality. Use case: Superharmonic Liouville-type exercises in recurrent dimensions.	superharmonic,recurrence,optional-stopping
ch9_exercise_method_radial_superharmonic_high_dimension	Radial superharmonic examples in high dimension (example-pattern)	Use the radial Laplacian g''(r)+(d-1)g'(r)/r; functions such as (1+r^2)^{-(d-2)/2} are smooth nonconstant nonnegative superharmonic for d>=3. Use case: Constructing counterexamples to recurrent-dimensional constancy in transient dimensions.	radial-laplacian,superharmonic,dimension
