front	back	tags
Chapter 3.1 method: what is the main exercise strategy?	Use Stirling's formula and product-log expansions to turn exact binomial or rare-event probabilities into normal or exponential limits.	chapter3,3_1,stirling,binomial,product-limit,normal-approximation
Chapter 3.2 method: what is the main exercise strategy?	Translate weak convergence into CDF continuity-point checks, bounded continuous test functions, open/closed set bounds, tightness, and continuous mappings.	chapter3,3_2,weak-convergence,portmanteau,tightness,continuous-mapping,slutsky
Chapter 3.3 method: what is the main exercise strategy?	Identify distributions and limits through characteristic functions; use transform tables, Taylor expansions at zero, inversion, and factorization.	chapter3,3_3,characteristic-functions,levy-continuity,moments,inversion,independence
Chapter 3.4 method: what is the main exercise strategy?	Choose the correct normalization, verify Lindeberg or Lyapunov conditions, and reduce random-index or triangular-array sums to known CLT forms.	chapter3,3_4,clt,lindeberg,lyapunov,triangular-array,random-sums
Chapter 3.5 method: what is the main exercise strategy?	Use local limit theorem thinking when a problem asks for point probabilities or lattice-scale approximations rather than only distributional convergence.	chapter3,3_5,local-limit,lattice,point-probability,normal-density
Chapter 3.6 method: what is the main exercise strategy?	Prove total variation bounds by coupling, and prove sharpness by constructing a maximal coupling from the common mass of two measures.	chapter3,3_6,coupling,total-variation,maximal-coupling,discrete-measures
Chapter 3.7 method: what is the main exercise strategy?	Exploit exponential survival functions, Poisson thinning/splitting, and Dirichlet uniform spacings to solve process and occupancy limits.	chapter3,3_7,poisson-process,exponential,thinning,splitting,uniform-spacings
Chapter 3.8 method: what is the main exercise strategy?	Read stable-law questions through scaling, regular variation, tail integrals, Laplace transforms, and conditioning on positive stable subordinators.	chapter3,3_8,stable-laws,heavy-tails,regular-variation,laplace-transform,subordination
Chapter 3.9 method: what is the main exercise strategy?	Use convolution roots, support diameter, symmetrized characteristic functions, and Levy-Khinchin exponent matching for infinite divisibility problems.	chapter3,3_9,infinite-divisibility,gamma,levy-khinchin,characteristic-functions,support
Chapter 3.10 method: what is the main exercise strategy?	Recover marginals by sending coordinates to infinity, build joint laws with copulas, and prove independence or normality by multivariate characteristic functions.	chapter3,3_10,multivariate,marginals,copula,joint-characteristic-function,multivariate-normal
Stirling method for binomial ratios	Insert Stirling's formula into factorial probabilities, simplify the polynomial prefactor, and exponentiate logarithmic expansions. Use case: Exercises in Section 3.1 involving De Moivre-Laplace or large binomial probabilities.	chapter3,calculation-template,stirling,binomial,asymptotics
Convert rare-event products to exponentials	For products of factors 1+a_{n,k}, take logs and use log(1+x)=x+o(x) when the maximum factor is small. Use case: Birthday, occupancy, no-collision, and geometric waiting-time limits.	chapter3,limit-template,product-limit,rare-events,log-expansion
Linear deviations require exponential-rate estimates	When deviations are of order n rather than sqrt(n), normal approximation is usually wrong; use Stirling or large-deviation rates. Use case: Binomial or random-walk tail exercises before the large-deviation chapter.	chapter3,warning,large-deviation,normal-approximation,scale
Buffer events for weak convergence	Compare events such as {X_n <= x} with {X <= x +/- epsilon} to pass from convergence in probability to weak convergence. Use case: Exercises proving convergence in probability implies distributional convergence or converging-together results.	chapter3,proof-template,weak-convergence,epsilon-buffer,cdf
Subsequence principle for identifying limits	Show every subsequence has a further subsequence with the same limit; then the original sequence converges. Use case: Tightness and uniqueness arguments in weak convergence exercises.	chapter3,proof-template,subsequence,tightness,uniqueness
Tightness from tails or coercive moments	Control sup_n P(|X_n|>K) directly or use Markov's inequality on a function growing to infinity. Use case: Weak convergence compactness exercises.	chapter3,criterion,tightness,markov,moment-bound
Converging together and Slutsky template	If a main term has a distributional limit and the error goes to zero in probability, use tightness and buffer events to keep the same limit. Use case: Exercises where a statistic is approximated by a simpler statistic.	chapter3,proof-template,slutsky,negligible-error,weak-convergence
Characteristic-function table matching	Recognize transforms such as normal, Cauchy, gamma, Poisson, and uniform; then invoke uniqueness. Use case: Distribution identification and transform inversion exercises in Section 3.3.	chapter3,calculation-template,characteristic-functions,transform-table,uniqueness
Extract moments from characteristic-function Taylor terms	Differentiate the characteristic function at zero or compare its Taylor expansion with 1+it EX - t^2 E X^2/2 + ... . Use case: Moment and variance calculations from transforms.	chapter3,calculation-template,moments,taylor-expansion,characteristic-functions
Independence through characteristic-function factorization	A joint characteristic function that factors into marginal characteristic functions identifies the product law. Use case: Exercises proving independence from transforms.	chapter3,proof-template,independence,joint-law,characteristic-functions
Use inversion to recover probabilities or densities	Apply the inversion formula in the form appropriate to densities or lattice probabilities, checking integrability when needed. Use case: Characteristic-function inversion exercises.	chapter3,calculation-template,inversion,density,lattice
Lindeberg check by truncation	Bound the contribution of terms exceeding epsilon times the row standard deviation; bounded or uniformly small terms often make the condition immediate. Use case: Triangular-array CLT exercises.	chapter3,proof-template,lindeberg,triangular-array,truncation
Lyapunov condition as a shortcut to Lindeberg	Verify a higher-moment bound divided by the row variance scale; Lyapunov implies Lindeberg. Use case: CLT exercises with available third or higher moments.	chapter3,criterion,lyapunov,clt,moments
Random-index CLT template	Condition on the random index or compare it to a deterministic equivalent, then use Slutsky once the index ratio converges. Use case: Random sums and stopped-sum CLT exercises.	chapter3,proof-template,random-index,clt,slutsky
Poisson and multinomial CLT scaling	Center counts by their means and scale by square roots of variances; dependence in multinomial vectors appears through covariance constraints. Use case: Occupancy, count-vector, and Poisson approximation CLT exercises.	chapter3,calculation-template,poisson,multinomial,normal-approximation
Local limit versus global CLT	The CLT controls interval probabilities, while a local limit theorem controls individual lattice probabilities at the normal-density scale. Use case: Point probability approximations in Section 3.5.	chapter3,warning,local-limit,clt,lattice
Check lattice span before using a local limit theorem	For lattice variables, the correct local approximation includes the span and only applies on reachable lattice points. Use case: Local normal approximations for sums of integer-valued variables.	chapter3,warning,lattice,span,local-limit
Any coupling bounds total variation	For every event A, |P(X in A)-P(Y in A)| is bounded by P(X != Y), so total variation is no larger than mismatch probability. Use case: Exercise 3.6.1 and coupling estimates.	chapter3,proof-template,coupling,total-variation,mismatch
Maximal coupling by common mass	Couple two discrete laws by first sampling from their overlap min(mu,nu), then sample residuals on disjoint supports. Use case: Sharp total variation coupling results.	chapter3,construction-template,maximal-coupling,common-mass,discrete-law
Memoryless survival equation	The lack-of-memory property gives G(s+t)=G(s)G(t); monotonicity and right-continuity force G(t)=exp(-lambda t). Use case: Exercise 3.7.1 and exponential waiting-time characterization.	chapter3,proof-template,memoryless,exponential,survival-function
Competing exponentials race rule	The minimum of independent exponentials has rate equal to the sum of rates, and the winning index has probability proportional to its rate. Use case: Exercises 3.7.2 and 3.7.3.	chapter3,calculation-template,exponential,minimum,race
Infinite-server queue by Poisson thinning	Calls of age r survive with probability 1-G(r); thinning and superposition give a Poisson number in service with mean lambda integral survival. Use case: Exercise 3.7.4.	chapter3,calculation-template,poisson-thinning,queue,tail-integral
